Incident No,Business Unit,Site,City,Latitude (Site),Longitude (Site),State,Country,Damage Type,Damaged Item,Date and Time of Incident,Impacted Person,Incident Cause,Incident Description,Incident Severity,Incident Type,Reported By,Worker Type,Lost Hours,Reporting Time
35133,Site Activity,Howley Park,Falkirk,55.98606506,-3.780353419,Scotland,United Kingdom,,,06/07/2022 08:28,,Errors,Description 18450,Major,Near Miss,Clem Fandango,Subcontractor,,41
34722,Site Activity,Somercotes,Wroxham,52.69137649,1.394426132,England,United Kingdom,,,27/06/2022 15:00,,Violations,Description 18249,Minor,Near Miss,Sookie Houseboat,Subcontractor,,29
20072,Transport,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,26/03/2021 16:00,,Ill Health,Description 10618,Critical,Near Miss,Basil Jet,Subcontractor,,17
36298,Production,Hoveringham,Bradford,53.80687454,-1.783967382,England,United Kingdom,,,13/08/2022 08:30,,Accidents,Description 19036,Major,Work Observation,Basil Jet,Subcontractor,,10
35452,Production,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,13/07/2022 13:41,,Errors,Description 18619,Minor,Work Observation,Roy Highknock,Subcontractor,,55
41311,Production,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,25/01/2023 16:27,,Violations,Description 21646,Critical,Near Miss,Yvonne Wryly,Subcontractor,,30
36828,Production,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,30/08/2022 10:06,,Ill Health,Description 19319,Major,Near Miss,Lord Fotheringham,Subcontractor,,40
41099,Production,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,18/01/2023 15:41,,Accidents,Description 21550,Minor,Vehicle Incident,Roy Highknock,Subcontractor,,30
36023,Site Activity,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,02/08/2022 11:12,,Errors,Description 18902,Critical,Work Observation,Roy Highknock,Subcontractor,,53
31577,Site Activity,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,23/03/2022 08:04,,Violations,Description 16693,Major,Near Miss,Jon Hamm,Subcontractor,,57
38009,Site Activity,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,06/10/2022 05:33,,Ill Health,Description 19896,Minor,Near Miss,Lord Fotheringham,Subcontractor,,13
38003,Production,Accrington - Depot,Kilmarnock,55.58638886,-4.506708796,Scotland,United Kingdom,,,06/10/2022 09:17,,Accidents,Description 19886,Critical,Work Observation,Roy Highknock,Subcontractor,,49
